From dapp.com,,,
Dapp Name,Category,Can be covered?,Comments
Uniswap_V3,DeFi,0,
LooksRare,Trading,1,
Frax_Finance,Token,0,
Uniswap_V2,Token,0,
SushiSwap,Token,0,
Compound,Token,0,
OpenSea,Trading,1,
MetaMask_Swap,Wallet,1,
DODO,Token,0,
Aave_Protocol,Token,0,
Alpha_Homora,Token,0,
MakerDAO,Token,0,
Curve,Token,0,
Polygon_PoS_Bridge,Token,0,
Bancor,Token,0,
Tokenlon,Token,0,
ETH_2_Deposit_Contract,Etherscan,0,
Balancer,Token,0,
Cointool,Utilities,0,Not Available
DeFi_Saver,DeFi,0,
Shibaswap,Token,0,
1inch_Network,Token,0,
Ren,Token,0,
dYdX,DeFi,0,
Synthetix_Exchange,Token,0,
Yearn.Finance,Token,0,
Liquity_Protocol,Token,0,
The_Sandbox,Token,0,
Crypto.com_DeFi_Swap,Token,0,
Enzyme_Finance,Token,0,
BarnBridge,Token,0,
Inverse_Finance,Token,0,
Foundation,Trading,1,
Smoothy,Token,0,
Alchemix,Token,0,
mStable,Token,0,
NFTfi,DeFi,0,
PowerPool,Token,0,
Perpetual_Protocol,Token,0,
Stake_DAO,Token,0,
Demex,Token,0,
Harvest_Finance,Token,0,
Badger_DAO,Token,0,
Livepeer,Token,0,
Swerve_Finance,Token,0,
Allbridge_ETH,Token,0,
CryptoPunks,NFT,0,Cannot trigger dapp
PoolTogether,Token,0,
Kyber_Network,Token,0,
SuperRare,Token,0,
Indexed_Finance,Token,0,
Token_BulkSender,Wallet,1,
LocalCryptos,Token,0,
Ethereum_Name_Service,Token,0,
Arken_Finance_ETH,Exchange,1,
DeversiFi,DeFi,0,
Atomex,Mobile App,0,
SwipeSwap,Token,0,
Pickle_Finance,Token,0,
Sablier_Finance,Mobile App,0,
Bitpie_ETH_Batch_Sender,wallet,1,
Furucombo,Token,0,
Uniswap_V1,Exchange,0,Cannot Access
Mooniswap,Exchange,0,Cannot Access
Flexa,Token,0,
Stkr,Token,0,
CellETF,Token,0,
Ambire,Token,0,
OpenOcean,Token,0,
SuperWorld,Auction Game,1,"Cannot use, for it will check the balance before trigger smart contract"
Index_Coop,Token,0,
KnownOrigin,Trading,1,
BloctoSwap,DeFi,0,
Monolith,Token,0,
NFTrade,Trading,1,
LuaSwap,Token,0,
MUSystem,Wallet,1,
SakeSwap,Token,0,
LINKSWAP,Token,0,
League_of_Kingdoms,Mobile App,0,
CryptoSpells,Mobile App,0,
Augmented_Finance,Token,0,
Mirror_Protocol,Token,0,
DADA.nyc,Trading,1,
ThunderBridge,Token,0,
MegaCryptoPolis,Mobile App,0,
My_Crypto_Heroes,Mobile App,0,
BT.Finance,Token,0,
PolkaBridge,Token,0,
YouSwap,Token,0,
AirSwap,Token,0,
Kingswap,Token,0,
Mintable.app,Auction,1,
CryptoKitties,Token,0,
CCSwap,Token,0,
3F_Mutual,Insurance,0,
EtherBucks,Trading,1,
ForkDelta,trading,1,
Nexus_Mutual,Token,0,
Value_DeFi,Token,0,
,,,
,,Covered: 15,
,,token:69,
,,mobile:4,